TCS #, Main , Side_1_Route ,Activation_Date,Latitude,Longitude,Count_Date,Peak_Hr_Vehicle_Volume,Peak_Hr_Pedestrian_Volume,Year,Day
938, SHEPPARD AVE E , MCCOWAN RD ,07/14/1971,43.78964,-79.25883,05-02-2015,34425,2423,2015,Saturday
939, MCCOWAN RD , 401 C W MCCOWAN RD S RAMP ,07/21/1971,43.78272346,-79.25545156,05-02-2015,38670,206,2015,Saturday
940, MCCOWAN RD , CONSILIUM PL ,07/21/1971,43.7796,-79.254112,05-02-2015,34231,99,2015,Saturday
941, PHARMACY AVE , COMSTOCK RD ,06/10/1971,43.71932,-79.29491,02-08-2018,19646,325,2018,Thursday
942, WESTON RD , OAK ST ,10/14/1971,43.70777,-79.53354,01-17-2012,17286,588,2012,Tuesday
943, JANE ST , JOHN ST ,10/29/1971,43.70665,-79.50481,09-27-2010,16819,1034,2010,Monday
944, DANFORTH AVE , MONARCH PARK AVE ,11/17/1971,43.6826,-79.32714,05-07-2015,11318,1972,2015,Thursday
945, YONGE ST , POYNTZ AVE ,08/26/1987,43.75998,-79.41052,12-02-2015,33436,3822,2015,Wednesday
946, KIPLING AVE , TORLAKE CRES ,10/09/1971,43.61156,-79.52254,12-16-2014,10565,114,2014,Tuesday
947, ISLINGTON AVE , FINCH AVE W ,03/09/1971,43.74625,-79.5686,04-26-2014,24836,596,2014,Saturday
948, BURNHAMTHORPE RD , THE EAST MALL ,11/05/1970,43.64633,-79.56004,12-03-2016,20250,515,2016,Saturday
949, BURNHAMTHORPE RD , 427 C N BURNHAMTHORPE RAMP ,09/29/1971,43.64585475,-79.56186764,12-13-2016,27046,69,2016,Tuesday
950, BURNHAMTHORPE RD , 427 C S RATHBURN E RAMP ,09/29/1971,43.6450803,-79.56514994,05-20-2015,26578,147,2015,Wednesday
951, MCCOWAN RD , BRIMORTON DR ,09/15/1971,43.76544,-79.24894,04-29-2015,18068,319,2015,Wednesday
952, LESLIE ST , CUMMER AVE ,12/20/1971,43.80132,-79.37071,11-08-2016,18360,1448,2016,Tuesday
953, DIXON RD , ATTWELL DR ,01/01/1971,43.68796,-79.58681,11-29-2016,23800,543,2016,Tuesday
954, EGLINTON AVE W , 27 401 427 EGLINTON E RAMP ,01/01/1971,43.67394403,-79.56755522,12-12-2011,30975,0,2011,Monday
955, ISLINGTON AVE , ST ANDREWS BLVD ,08/29/1975,43.70134,-79.54866,04-24-2014,19941,1212,2014,Thursday
956, KEELE ST , CANARCTIC DR ,07/01/1972,43.77526,-79.49399,02-23-2016,16169,891,2016,Tuesday
957, MARKHAM RD , TUXEDO CRT ,12/21/1971,43.77956,-79.23296,03-29-2014,25842,807,2014,Saturday
958, WARDEN AVE , METROPOLITAN RD ,12/17/1971,43.76723,-79.30279,11-19-2014,25357,126,2014,Wednesday
959, KENNEDY RD , WICKWARE GT ,12/30/1971,43.75325,-79.27629,08-05-2015,19566,416,2015,Wednesday
960, FINCH AVE W , DUNCANWOODS DR ,12/20/1971,43.74882,-79.55768,07-21-2010,17376,1441,2010,Wednesday
961, FINCH AVE W , DRIFTWOOD AVE ,01/12/1971,43.75808,-79.51339,07-19-2010,19264,2202,2010,Monday
962, JANE ST , GRANDRAVINE DR ,07/01/1972,43.74711,-79.51511,01-13-2014,14932,797,2014,Monday
963, LAKE SHORE BLVD E , COXWELL AVE ,06/07/1972,43.66228,-79.31484,05-09-2016,18465,293,2016,Monday
964, ROGERS RD , BICKNELL AVE ,10/10/1990,43.68193,-79.4742,04-13-2016,10522,516,2016,Wednesday
965, LESLIE ST , NYMARK AVE ,06/29/1972,43.77831,-79.3653,01-10-2011,14692,318,2011,Monday
966, STEELES AVE E , MAXOME AVE ,06/15/1972,43.80106,-79.40624,03-26-2014,20094,203,2014,Wednesday
967, JANE ST , SHOREHAM DR ,02/06/1972,43.76884,-79.52039,09-20-2017,17925,2428,2017,Wednesday
968, AVENUE RD , YORKVILLE AVE ,08/31/1972,43.67048,-79.39478,10-18-2016,12869,4860,2016,Tuesday
969, DANFORTH RD , SEMINOLE AVE ,08/31/1972,43.74782,-79.2445,05-26-2016,13354,258,2016,Thursday
970, MARKHAM RD , 401 C E MARKHAM RD N RAMP ,05/27/1971,43.7838694,-79.23492539,06-07-2014,32856,14,2014,Saturday
971, MARKHAM RD , 401 C W MARKHAM RD S RAMP ,12/22/1971,43.78702515,-79.23620293,03-29-2014,34942,19,2014,Saturday
972, JANE ST , STONG CRT ,10/16/1972,43.76192,-79.51881,01-13-2014,13856,1516,2014,Monday
973, JANE ST , HEATHROW DR ,10/26/1972,43.7249,-79.50958,10-20-2014,18009,842,2014,Monday
974, EGLINTON AVE W , WINCOTT DR ,07/20/1972,43.67856,-79.54492,12-09-2013,23515,201,2013,Monday
975, BURNHAMTHORPE RD , OLD BURNHAMTHORPE RD ,08/24/1972,43.6426,-79.57592,11-30-2016,18979,525,2016,Wednesday
976, MARKHAM RD , BLAKEMANOR BLVD ,10/23/1972,43.75104,-79.22224,04-08-2014,14181,475,2014,Tuesday
977, SCARBOROUGH GOLF CLUB RD , BRIMORTON DR ,08/23/1972,43.76983,-79.21867,09-29-2010,9156,772,2010,Wednesday
978, YORK MILLS RD , VALENTINE DR ,10/23/1972,43.75708295,-79.34136808,03-09-2016,18501,237,2016,Wednesday
979, BATHURST ST , CARSCADDEN DR ,06/16/1972,43.76546,-79.44087,03-23-2015,18638,275,2015,Monday
980, BATHURST ST , STAFFORD RD ,10/24/1972,43.77088,-79.44222,06-25-2014,17649,195,2014,Wednesday
981, BATHURST ST , BAYCREST AVE ,05/16/1973,43.72963,-79.43213,03-31-2015,18651,1584,2015,Tuesday
982, VICTORIA PARK AVE , CRESCENT TOWN RD ,01/22/1973,43.69656,-79.29046,08-01-2013,9902,363,2013,Thursday
983, LAWRENCE AVE E , MANSE RD ,09/27/1972,43.7706276,-79.1762578,10-22-2014,11211,497,2014,Wednesday
984, BAY ST , CHARLES ST W ,08/31/1972,43.66822,-79.38885,11-10-2016,13272,14606,2016,Thursday
985, DIXON RD , CHETTA PL ,07/07/1972,43.69585,-79.55211,11-29-2016,15838,682,2016,Tuesday
986, STEELES AVE E , WILLOWDALE AVE ,07/17/1972,43.79926,-79.41444,03-26-2014,20904,236,2014,Wednesday
987, BIRCHMOUNT RD , HUNTINGWOOD DR ,06/23/1972,43.79045,-79.30227,12-10-2016,14889,162,2016,Saturday
988, DANFORTH RD , WOLFE AVE ,10/11/1972,43.7274,-79.25263,05-26-2016,10665,925,2016,Thursday
989, PARK LAWN RD , GARDINER E PARK LAWN RD RAMP ,12/20/1974,43.625648,-79.48615504,10-06-2016,17018,314,2016,Thursday
990, MARKHAM RD , LUELLA ST ,07/25/1972,43.74507,-79.2197,04-08-2014,12478,925,2014,Tuesday
991, WILSON AVE , YONGE BLVD ,11/09/1972,43.74132,-79.41522,11-29-2016,16712,1166,2016,Tuesday
